dteday,yr,mnth,hr,weekday,season,weathersit,cnt,registered,casual
2011-05-04,2011,May,4,Wednesday,Summer,Light Snow/Rain,3,2,1
2011-05-04,2011,May,5,Wednesday,Summer,Light Snow/Rain,9,8,1
2011-05-04,2011,May,6,Wednesday,Summer,Light Snow/Rain,21,21,0
2011-05-04,2011,May,7,Wednesday,Summer,Light Snow/Rain,52,46,6
2011-05-04,2011,May,8,Wednesday,Summer,Light Snow/Rain,79,74,5
2011-05-04,2011,May,9,Wednesday,Summer,Light Snow/Rain,40,35,5
2011-05-04,2011,May,10,Wednesday,Summer,Cloudy,31,26,5
2011-05-04,2011,May,11,Wednesday,Summer,Clear,72,69,3
2011-05-04,2011,May,12,Wednesday,Summer,Cloudy,124,105,19
2011-05-04,2011,May,13,Wednesday,Summer,Cloudy,143,128,15
2011-05-04,2011,May,14,Wednesday,Summer,Clear,107,94,13
2011-05-04,2011,May,15,Wednesday,Summer,Clear,129,107,22
2011-05-04,2011,May,16,Wednesday,Summer,Clear,195,173,22
2011-05-04,2011,May,17,Wednesday,Summer,Clear,410,388,22
2011-05-04,2011,May,18,Wednesday,Summer,Clear,396,367,29
2011-05-04,2011,May,19,Wednesday,Summer,Clear,296,266,30
2011-05-04,2011,May,20,Wednesday,Summer,Clear,191,174,17
2011-05-04,2011,May,21,Wednesday,Summer,Clear,150,133,17
2011-05-04,2011,May,22,Wednesday,Summer,Clear,89,80,9
2011-05-04,2011,May,23,Wednesday,Summer,Clear,57,49,8
2011-05-05,2011,May,0,Thursday,Summer,Clear,27,23,4
2011-05-05,2011,May,1,Thursday,Summer,Clear,10,6,4
2011-05-05,2011,May,2,Thursday,Summer,Clear,5,4,1
2011-05-05,2011,May,3,Thursday,Summer,Clear,4,4,0
2011-05-05,2011,May,4,Thursday,Summer,Clear,7,3,4
2011-05-05,2011,May,5,Thursday,Summer,Clear,30,29,1
2011-05-05,2011,May,6,Thursday,Summer,Clear,89,86,3
2011-05-05,2011,May,7,Thursday,Summer,Clear,271,255,16
2011-05-05,2011,May,8,Thursday,Summer,Clear,440,415,25
2011-05-05,2011,May,9,Thursday,Summer,Clear,184,164,20
2011-05-05,2011,May,10,Thursday,Summer,Clear,128,98,30
2011-05-05,2011,May,11,Thursday,Summer,Clear,148,105,43
2011-05-05,2011,May,12,Thursday,Summer,Clear,196,169,27
2011-05-05,2011,May,13,Thursday,Summer,Clear,192,142,50
2011-05-05,2011,May,14,Thursday,Summer,Clear,154,135,19
2011-05-05,2011,May,15,Thursday,Summer,Clear,147,120,27
2011-05-05,2011,May,16,Thursday,Summer,Clear,269,233,36
2011-05-05,2011,May,17,Thursday,Summer,Clear,533,467,66
2011-05-05,2011,May,18,Thursday,Summer,Clear,520,456,64
2011-05-05,2011,May,19,Thursday,Summer,Clear,361,305,56
2011-05-05,2011,May,20,Thursday,Summer,Clear,258,225,33
2011-05-05,2011,May,21,Thursday,Summer,Clear,180,141,39
2011-05-05,2011,May,22,Thursday,Summer,Clear,165,135,30
2011-05-05,2011,May,23,Thursday,Summer,Clear,115,99,16
2011-05-06,2011,May,0,Friday,Summer,Clear,56,43,13
2011-05-06,2011,May,1,Friday,Summer,Clear,32,24,8
2011-05-06,2011,May,2,Friday,Summer,Clear,16,15,1
2011-05-06,2011,May,3,Friday,Summer,Clear,9,6,3
2011-05-06,2011,May,4,Friday,Summer,Clear,1,1,0
2011-05-06,2011,May,5,Friday,Summer,Clear,16,16,0
2011-05-06,2011,May,6,Friday,Summer,Clear,82,74,8
2011-05-06,2011,May,7,Friday,Summer,Clear,222,202,20
2011-05-06,2011,May,8,Friday,Summer,Clear,450,415,35
2011-05-06,2011,May,9,Friday,Summer,Clear,188,161,27
2011-05-06,2011,May,10,Friday,Summer,Cloudy,127,97,30
2011-05-06,2011,May,11,Friday,Summer,Cloudy,165,123,42
2011-05-06,2011,May,12,Friday,Summer,Clear,246,198,48
2011-05-06,2011,May,13,Friday,Summer,Clear,253,182,71
2011-05-06,2011,May,14,Friday,Summer,Clear,213,127,86
2011-05-06,2011,May,15,Friday,Summer,Clear,260,171,89
2011-05-06,2011,May,16,Friday,Summer,Clear,344,262,82
2011-05-06,2011,May,17,Friday,Summer,Clear,553,470,83
2011-05-06,2011,May,18,Friday,Summer,Light Snow/Rain,470,385,85
2011-05-06,2011,May,19,Friday,Summer,Light Snow/Rain,292,253,39
2011-05-06,2011,May,20,Friday,Summer,Clear,190,161,29
2011-05-06,2011,May,21,Friday,Summer,Clear,152,130,22
2011-05-06,2011,May,22,Friday,Summer,Clear,151,105,46
2011-05-06,2011,May,23,Friday,Summer,Clear,120,93,27
2011-05-07,2011,May,0,Saturday,Summer,Clear,86,76,10
2011-05-07,2011,May,1,Saturday,Summer,Clear,58,50,8
2011-05-07,2011,May,2,Saturday,Summer,Clear,52,47,5
2011-05-07,2011,May,3,Saturday,Summer,Clear,18,9,9
2011-05-07,2011,May,4,Saturday,Summer,Clear,5,4,1
2011-05-07,2011,May,5,Saturday,Summer,Clear,7,3,4
2011-05-07,2011,May,6,Saturday,Summer,Clear,13,12,1
2011-05-07,2011,May,7,Saturday,Summer,Clear,40,32,8
2011-05-07,2011,May,8,Saturday,Summer,Clear,115,96,19
2011-05-07,2011,May,9,Saturday,Summer,Clear,218,164,54
2011-05-07,2011,May,10,Saturday,Summer,Clear,298,208,90
2011-05-07,2011,May,11,Saturday,Summer,Clear,347,215,132
2011-05-07,2011,May,12,Saturday,Summer,Clear,373,244,129
2011-05-07,2011,May,13,Saturday,Summer,Clear,436,240,196
2011-05-07,2011,May,14,Saturday,Summer,Light Snow/Rain,378,235,143
2011-05-07,2011,May,15,Saturday,Summer,Clear,378,230,148
2011-05-07,2011,May,16,Saturday,Summer,Clear,342,223,119
2011-05-07,2011,May,17,Saturday,Summer,Clear,354,216,138
2011-05-07,2011,May,18,Saturday,Summer,Clear,289,175,114
2011-05-07,2011,May,19,Saturday,Summer,Clear,267,179,88
2011-05-07,2011,May,20,Saturday,Summer,Clear,219,137,82
2011-05-07,2011,May,21,Saturday,Summer,Clear,182,124,58
2011-05-07,2011,May,22,Saturday,Summer,Clear,120,94,26
2011-05-07,2011,May,23,Saturday,Summer,Clear,119,89,30
2011-05-08,2011,May,0,Sunday,Summer,Cloudy,100,78,22
2011-05-08,2011,May,1,Sunday,Summer,Cloudy,64,56,8
2011-05-08,2011,May,2,Sunday,Summer,Clear,59,42,17
2011-05-08,2011,May,3,Sunday,Summer,Clear,31,21,10
2011-05-08,2011,May,4,Sunday,Summer,Clear,10,8,2
2011-05-08,2011,May,5,Sunday,Summer,Cloudy,5,5,0
2011-05-08,2011,May,6,Sunday,Summer,Cloudy,6,4,2
2011-05-08,2011,May,7,Sunday,Summer,Cloudy,23,15,8
2011-05-08,2011,May,8,Sunday,Summer,Clear,86,58,28
2011-05-08,2011,May,9,Sunday,Summer,Clear,160,112,48
2011-05-08,2011,May,10,Sunday,Summer,Clear,244,153,91
2011-05-08,2011,May,11,Sunday,Summer,Clear,340,198,142
2011-05-08,2011,May,12,Sunday,Summer,Clear,382,243,139
2011-05-08,2011,May,13,Sunday,Summer,Clear,390,224,166
2011-05-08,2011,May,14,Sunday,Summer,Clear,366,240,126
2011-05-08,2011,May,15,Sunday,Summer,Clear,358,230,128
2011-05-08,2011,May,16,Sunday,Summer,Clear,385,263,122
2011-05-08,2011,May,17,Sunday,Summer,Light Snow/Rain,351,245,106
2011-05-08,2011,May,18,Sunday,Summer,Clear,268,205,63
2011-05-08,2011,May,19,Sunday,Summer,Clear,239,178,61
2011-05-08,2011,May,20,Sunday,Summer,Clear,174,132,42
2011-05-08,2011,May,21,Sunday,Summer,Clear,127,95,32
2011-05-08,2011,May,22,Sunday,Summer,Clear,115,86,29
2011-05-08,2011,May,23,Sunday,Summer,Clear,50,41,9
2011-05-09,2011,May,0,Monday,Summer,Clear,53,22,31
2011-05-09,2011,May,1,Monday,Summer,Clear,33,8,25
2011-05-09,2011,May,2,Monday,Summer,Clear,8,2,6
2011-05-09,2011,May,3,Monday,Summer,Clear,7,7,0
2011-05-09,2011,May,4,Monday,Summer,Clear,4,4,0
2011-05-09,2011,May,5,Monday,Summer,Clear,23,23,0
2011-05-09,2011,May,6,Monday,Summer,Clear,89,87,2
2011-05-09,2011,May,7,Monday,Summer,Clear,237,221,16
2011-05-09,2011,May,8,Monday,Summer,Clear,374,351,23
2011-05-09,2011,May,9,Monday,Summer,Clear,178,142,36
2011-05-09,2011,May,10,Monday,Summer,Clear,119,95,24
2011-05-09,2011,May,11,Monday,Summer,Clear,125,99,26
2011-05-09,2011,May,12,Monday,Summer,Clear,195,160,35
2011-05-09,2011,May,13,Monday,Summer,Clear,174,138,36
2011-05-09,2011,May,14,Monday,Summer,Clear,162,118,44
2011-05-09,2011,May,15,Monday,Summer,Clear,199,148,51
2011-05-09,2011,May,16,Monday,Summer,Clear,304,255,49
2011-05-09,2011,May,17,Monday,Summer,Clear,598,539,59
2011-05-09,2011,May,18,Monday,Summer,Clear,524,458,66
2011-05-09,2011,May,19,Monday,Summer,Clear,384,339,45
2011-05-09,2011,May,20,Monday,Summer,Clear,239,214,25
2011-05-09,2011,May,21,Monday,Summer,Clear,156,128,28
2011-05-09,2011,May,22,Monday,Summer,Clear,116,95,21
2011-05-09,2011,May,23,Monday,Summer,Clear,61,45,16
2011-05-10,2011,May,0,Tuesday,Summer,Clear,18,12,6
2011-05-10,2011,May,1,Tuesday,Summer,Clear,15,12,3
2011-05-10,2011,May,2,Tuesday,Summer,Clear,5,4,1
2011-05-10,2011,May,3,Tuesday,Summer,Clear,4,3,1
2011-05-10,2011,May,4,Tuesday,Summer,Clear,2,2,0
2011-05-10,2011,May,5,Tuesday,Summer,Clear,29,28,1
2011-05-10,2011,May,6,Tuesday,Summer,Clear,112,103,9
2011-05-10,2011,May,7,Tuesday,Summer,Cloudy,314,301,13
2011-05-10,2011,May,8,Tuesday,Summer,Cloudy,425,397,28
2011-05-10,2011,May,9,Tuesday,Summer,Cloudy,205,176,29
2011-05-10,2011,May,10,Tuesday,Summer,Cloudy,127,100,27
2011-05-10,2011,May,11,Tuesday,Summer,Cloudy,125,108,17
2011-05-10,2011,May,12,Tuesday,Summer,Cloudy,217,170,47
2011-05-10,2011,May,13,Tuesday,Summer,Cloudy,202,152,50
2011-05-10,2011,May,14,Tuesday,Summer,Cloudy,176,134,42
2011-05-10,2011,May,15,Tuesday,Summer,Cloudy,180,152,28
2011-05-10,2011,May,16,Tuesday,Summer,Clear,327,271,56
2011-05-10,2011,May,17,Tuesday,Summer,Clear,611,532,79
2011-05-10,2011,May,18,Tuesday,Summer,Clear,550,480,70
2011-05-10,2011,May,19,Tuesday,Summer,Clear,434,365,69
2011-05-10,2011,May,20,Tuesday,Summer,Clear,291,241,50
2011-05-10,2011,May,21,Tuesday,Summer,Clear,203,173,30
2011-05-10,2011,May,22,Tuesday,Summer,Clear,150,121,29
2011-05-10,2011,May,23,Tuesday,Summer,Cloudy,81,72,9
2011-05-11,2011,May,0,Wednesday,Summer,Cloudy,38,30,8
2011-05-11,2011,May,1,Wednesday,Summer,Cloudy,20,16,4
2011-05-11,2011,May,2,Wednesday,Summer,Clear,10,4,6
2011-05-11,2011,May,3,Wednesday,Summer,Clear,3,3,0
2011-05-11,2011,May,4,Wednesday,Summer,Cloudy,2,2,0
2011-05-11,2011,May,5,Wednesday,Summer,Clear,20,20,0
2011-05-11,2011,May,6,Wednesday,Summer,Clear,99,93,6
2011-05-11,2011,May,7,Wednesday,Summer,Clear,318,293,25
2011-05-11,2011,May,8,Wednesday,Summer,Clear,442,421,21
2011-05-11,2011,May,9,Wednesday,Summer,Clear,203,182,21
2011-05-11,2011,May,10,Wednesday,Summer,Clear,154,124,30
2011-05-11,2011,May,11,Wednesday,Summer,Clear,141,123,18
2011-05-11,2011,May,12,Wednesday,Summer,Clear,226,185,41
2011-05-11,2011,May,13,Wednesday,Summer,Clear,193,157,36
2011-05-11,2011,May,14,Wednesday,Summer,Clear,177,141,36
2011-05-11,2011,May,15,Wednesday,Summer,Clear,179,131,48
2011-05-11,2011,May,16,Wednesday,Summer,Clear,289,240,49
2011-05-11,2011,May,17,Wednesday,Summer,Clear,259,242,17
2011-05-11,2011,May,18,Wednesday,Summer,Clear,274,234,40
2011-05-11,2011,May,19,Wednesday,Summer,Clear,401,341,60
2011-05-11,2011,May,20,Wednesday,Summer,Clear,273,245,28
2011-05-11,2011,May,21,Wednesday,Summer,Clear,234,202,32
2011-05-11,2011,May,22,Wednesday,Summer,Clear,146,134,12
2011-05-11,2011,May,23,Wednesday,Summer,Clear,81,69,12
2011-05-12,2011,May,0,Thursday,Summer,Cloudy,44,39,5
2011-05-12,2011,May,1,Thursday,Summer,Clear,17,16,1
2011-05-12,2011,May,2,Thursday,Summer,Clear,15,14,1
2011-05-12,2011,May,3,Thursday,Summer,Clear,5,5,0
2011-05-12,2011,May,4,Thursday,Summer,Clear,6,5,1
2011-05-12,2011,May,5,Thursday,Summer,Clear,29,27,2
2011-05-12,2011,May,6,Thursday,Summer,Clear,112,103,9
2011-05-12,2011,May,7,Thursday,Summer,Clear,297,283,14
2011-05-12,2011,May,8,Thursday,Summer,Clear,421,394,27
2011-05-12,2011,May,9,Thursday,Summer,Cloudy,212,191,21
2011-05-12,2011,May,10,Thursday,Summer,Cloudy,147,119,28
2011-05-12,2011,May,11,Thursday,Summer,Clear,179,136,43
2011-05-12,2011,May,12,Thursday,Summer,Clear,207,164,43
2011-05-12,2011,May,13,Thursday,Summer,Cloudy,218,170,48
2011-05-12,2011,May,14,Thursday,Summer,Cloudy,191,148,43
2011-05-12,2011,May,15,Thursday,Summer,Cloudy,217,163,54
2011-05-12,2011,May,16,Thursday,Summer,Cloudy,288,238,50
2011-05-12,2011,May,17,Thursday,Summer,Cloudy,594,540,54
2011-05-12,2011,May,18,Thursday,Summer,Clear,527,463,64
2011-05-12,2011,May,19,Thursday,Summer,Cloudy,364,305,59
2011-05-12,2011,May,20,Thursday,Summer,Clear,276,220,56
2011-05-12,2011,May,21,Thursday,Summer,Clear,223,192,31
2011-05-12,2011,May,22,Thursday,Summer,Clear,172,147,25
2011-05-12,2011,May,23,Thursday,Summer,Cloudy,103,87,16
2011-05-13,2011,May,0,Friday,Summer,Cloudy,52,46,6
2011-05-13,2011,May,1,Friday,Summer,Clear,20,15,5
2011-05-13,2011,May,2,Friday,Summer,Cloudy,11,8,3
2011-05-13,2011,May,3,Friday,Summer,Cloudy,4,2,2
2011-05-13,2011,May,4,Friday,Summer,Light Snow/Rain,5,3,2
2011-05-13,2011,May,5,Friday,Summer,Cloudy,25,24,1
2011-05-13,2011,May,6,Friday,Summer,Light Snow/Rain,82,76,6
2011-05-13,2011,May,7,Friday,Summer,Light Snow/Rain,157,141,16
2011-05-13,2011,May,8,Friday,Summer,Cloudy,387,361,26
2011-05-13,2011,May,9,Friday,Summer,Cloudy,233,215,18
2011-05-13,2011,May,10,Friday,Summer,Cloudy,130,99,31
2011-05-13,2011,May,11,Friday,Summer,Cloudy,146,90,56
2011-05-13,2011,May,12,Friday,Summer,Cloudy,223,170,53
2011-05-13,2011,May,13,Friday,Summer,Cloudy,226,157,69
2011-05-13,2011,May,14,Friday,Summer,Cloudy,190,120,70
2011-05-13,2011,May,15,Friday,Summer,Cloudy,198,142,56
2011-05-13,2011,May,16,Friday,Summer,Cloudy,300,256,44
2011-05-13,2011,May,17,Friday,Summer,Light Snow/Rain,491,429,62
2011-05-13,2011,May,18,Friday,Summer,Light Snow/Rain,398,359,39
2011-05-13,2011,May,19,Friday,Summer,Cloudy,270,245,25
2011-05-13,2011,May,20,Friday,Summer,Cloudy,152,130,22
2011-05-13,2011,May,21,Friday,Summer,Cloudy,154,130,24
2011-05-13,2011,May,22,Friday,Summer,Cloudy,132,107,25
2011-05-13,2011,May,23,Friday,Summer,Light Snow/Rain,119,88,31
2011-05-14,2011,May,0,Saturday,Summer,Cloudy,102,78,24
2011-05-14,2011,May,1,Saturday,Summer,Cloudy,82,64,18
2011-05-14,2011,May,2,Saturday,Summer,Cloudy,52,37,15
2011-05-14,2011,May,3,Saturday,Summer,Cloudy,35,30,5
2011-05-14,2011,May,4,Saturday,Summer,Cloudy,5,4,1
2011-05-14,2011,May,5,Saturday,Summer,Cloudy,14,7,7
2011-05-14,2011,May,6,Saturday,Summer,Cloudy,11,9,2
2011-05-14,2011,May,7,Saturday,Summer,Light Snow/Rain,32,28,4
2011-05-14,2011,May,8,Saturday,Summer,Light Snow/Rain,88,72,16
2011-05-14,2011,May,9,Saturday,Summer,Cloudy,100,86,14
2011-05-14,2011,May,10,Saturday,Summer,Cloudy,167,133,34
2011-05-14,2011,May,11,Saturday,Summer,Cloudy,279,207,72
2011-05-14,2011,May,12,Saturday,Summer,Light Snow/Rain,279,204,75
2011-05-14,2011,May,13,Saturday,Summer,Light Snow/Rain,248,180,68
2011-05-14,2011,May,14,Saturday,Summer,Cloudy,216,159,57
2011-05-14,2011,May,15,Saturday,Summer,Cloudy,294,221,73
2011-05-14,2011,May,16,Saturday,Summer,Cloudy,295,188,107
2011-05-14,2011,May,17,Saturday,Summer,Cloudy,272,194,78
2011-05-14,2011,May,18,Saturday,Summer,Cloudy,304,216,88
2011-05-14,2011,May,19,Saturday,Summer,Light Snow/Rain,248,179,69
2011-05-14,2011,May,20,Saturday,Summer,Light Snow/Rain,157,115,42
2011-05-14,2011,May,21,Saturday,Summer,Light Snow/Rain,59,44,15
2011-05-14,2011,May,22,Saturday,Summer,Light Snow/Rain,26,19,7
2011-05-14,2011,May,23,Saturday,Summer,Light Snow/Rain,44,33,11
2011-05-15,2011,May,0,Sunday,Summer,Cloudy,39,34,5
2011-05-15,2011,May,1,Sunday,Summer,Cloudy,47,43,4
2011-05-15,2011,May,2,Sunday,Summer,Cloudy,50,37,13
2011-05-15,2011,May,3,Sunday,Summer,Cloudy,32,21,11
2011-05-15,2011,May,4,Sunday,Summer,Cloudy,13,8,5
2011-05-15,2011,May,5,Sunday,Summer,Light Snow/Rain,14,11,3
2011-05-15,2011,May,6,Sunday,Summer,Cloudy,17,14,3
2011-05-15,2011,May,7,Sunday,Summer,Cloudy,42,38,4
2011-05-15,2011,May,8,Sunday,Summer,Cloudy,70,46,24
2011-05-15,2011,May,9,Sunday,Summer,Clear,134,98,36
2011-05-15,2011,May,10,Sunday,Summer,Clear,226,153,73
2011-05-15,2011,May,11,Sunday,Summer,Clear,322,202,120
2011-05-15,2011,May,12,Sunday,Summer,Clear,367,247,120
2011-05-15,2011,May,13,Sunday,Summer,Clear,456,261,195
2011-05-15,2011,May,14,Sunday,Summer,Clear,437,254,183
2011-05-15,2011,May,15,Sunday,Summer,Clear,459,253,206
2011-05-15,2011,May,16,Sunday,Summer,Clear,440,282,158
2011-05-15,2011,May,17,Sunday,Summer,Light Snow/Rain,392,255,137
2011-05-15,2011,May,18,Sunday,Summer,Clear,237,177,60
2011-05-15,2011,May,19,Sunday,Summer,Clear,231,153,78
2011-05-15,2011,May,20,Sunday,Summer,Clear,191,138,53
2011-05-15,2011,May,21,Sunday,Summer,Clear,151,107,44
2011-05-15,2011,May,22,Sunday,Summer,Clear,117,88,29
2011-05-15,2011,May,23,Sunday,Summer,Clear,69,51,18
2011-05-16,2011,May,0,Monday,Summer,Clear,38,21,17
2011-05-16,2011,May,1,Monday,Summer,Clear,14,8,6
2011-05-16,2011,May,2,Monday,Summer,Clear,13,9,4
2011-05-16,2011,May,3,Monday,Summer,Clear,4,3,1
2011-05-16,2011,May,4,Monday,Summer,Clear,6,5,1
2011-05-16,2011,May,5,Monday,Summer,Clear,21,20,1
2011-05-16,2011,May,6,Monday,Summer,Clear,104,93,11
2011-05-16,2011,May,7,Monday,Summer,Clear,272,245,27
2011-05-16,2011,May,8,Monday,Summer,Clear,394,366,28
2011-05-16,2011,May,9,Monday,Summer,Clear,194,156,38
2011-05-16,2011,May,10,Monday,Summer,Clear,112,75,37
2011-05-16,2011,May,11,Monday,Summer,Clear,185,129,56
2011-05-16,2011,May,12,Monday,Summer,Clear,209,137,72
2011-05-16,2011,May,13,Monday,Summer,Clear,214,153,61
2011-05-16,2011,May,14,Monday,Summer,Clear,193,117,76
2011-05-16,2011,May,15,Monday,Summer,Clear,165,110,55
2011-05-16,2011,May,16,Monday,Summer,Light Snow/Rain,226,181,45
2011-05-16,2011,May,17,Monday,Summer,Clear,274,227,47
2011-05-16,2011,May,18,Monday,Summer,Light Snow/Rain,453,398,55
2011-05-16,2011,May,19,Monday,Summer,Clear,308,272,36
2011-05-16,2011,May,20,Monday,Summer,Clear,198,167,31
2011-05-16,2011,May,21,Monday,Summer,Clear,177,149,28
2011-05-16,2011,May,22,Monday,Summer,Clear,127,105,22
2011-05-16,2011,May,23,Monday,Summer,Clear,57,39,18
2011-05-17,2011,May,0,Tuesday,Summer,Cloudy,31,18,13
2011-05-17,2011,May,1,Tuesday,Summer,Light Snow/Rain,13,6,7
2011-05-17,2011,May,2,Tuesday,Summer,Light Snow/Rain,8,4,4
2011-05-17,2011,May,3,Tuesday,Summer,Light Snow/Rain,4,3,1
2011-05-17,2011,May,4,Tuesday,Summer,Light Snow/Rain,4,2,2
2011-05-17,2011,May,5,Tuesday,Summer,Light Snow/Rain,22,22,0
2011-05-17,2011,May,6,Tuesday,Summer,Light Snow/Rain,49,49,0
2011-05-17,2011,May,7,Tuesday,Summer,Cloudy,151,138,13
2011-05-17,2011,May,8,Tuesday,Summer,Cloudy,347,325,22
2011-05-17,2011,May,9,Tuesday,Summer,Cloudy,207,190,17
2011-05-17,2011,May,10,Tuesday,Summer,Light Snow/Rain,104,73,31
2011-05-17,2011,May,11,Tuesday,Summer,Cloudy,130,104,26
2011-05-17,2011,May,12,Tuesday,Summer,Light Snow/Rain,153,115,38
2011-05-17,2011,May,13,Tuesday,Summer,Cloudy,172,141,31
2011-05-17,2011,May,14,Tuesday,Summer,Clear,184,123,61
2011-05-17,2011,May,15,Tuesday,Summer,Clear,210,131,79
2011-05-17,2011,May,16,Tuesday,Summer,Clear,290,217,73
2011-05-17,2011,May,17,Tuesday,Summer,Clear,604,521,83
2011-05-17,2011,May,18,Tuesday,Summer,Clear,480,426,54
2011-05-17,2011,May,19,Tuesday,Summer,Clear,349,298,51
2011-05-17,2011,May,20,Tuesday,Summer,Clear,283,253,30
2011-05-17,2011,May,21,Tuesday,Summer,Clear,174,151,23
2011-05-17,2011,May,22,Tuesday,Summer,Cloudy,98,86,12
2011-05-17,2011,May,23,Tuesday,Summer,Cloudy,56,49,7
2011-05-18,2011,May,0,Wednesday,Summer,Cloudy,23,15,8
2011-05-18,2011,May,1,Wednesday,Summer,Cloudy,12,9,3
2011-05-18,2011,May,2,Wednesday,Summer,Light Snow/Rain,6,5,1
2011-05-18,2011,May,3,Wednesday,Summer,Light Snow/Rain,9,3,6
2011-05-18,2011,May,4,Wednesday,Summer,Light Snow/Rain,3,2,1
2011-05-18,2011,May,5,Wednesday,Summer,Clear,9,9,0
2011-05-18,2011,May,6,Wednesday,Summer,Clear,101,99,2
2011-05-18,2011,May,7,Wednesday,Summer,Clear,274,260,14
2011-05-18,2011,May,8,Wednesday,Summer,Clear,453,428,25
2011-05-18,2011,May,9,Wednesday,Summer,Light Snow/Rain,202,176,26
2011-05-18,2011,May,10,Wednesday,Summer,Light Snow/Rain,106,73,33
2011-05-18,2011,May,11,Wednesday,Summer,Cloudy,23,17,6
2011-05-18,2011,May,12,Wednesday,Summer,Clear,54,42,12
2011-05-18,2011,May,13,Wednesday,Summer,Cloudy,122,92,30
2011-05-18,2011,May,14,Wednesday,Summer,Cloudy,138,94,44
2011-05-18,2011,May,15,Wednesday,Summer,Clear,167,133,34
2011-05-18,2011,May,16,Wednesday,Summer,Clear,294,241,53
2011-05-18,2011,May,17,Wednesday,Summer,Clear,565,487,78
2011-05-18,2011,May,18,Wednesday,Summer,Clear,489,431,58
2011-05-18,2011,May,19,Wednesday,Summer,Light Snow/Rain,331,288,43
2011-05-18,2011,May,20,Wednesday,Summer,Light Snow/Rain,213,189,24
2011-05-18,2011,May,21,Wednesday,Summer,Clear,85,74,11
2011-05-18,2011,May,22,Wednesday,Summer,Clear,117,103,14
2011-05-18,2011,May,23,Wednesday,Summer,Clear,59,49,10
2011-05-19,2011,May,0,Thursday,Summer,Clear,29,23,6
2011-05-19,2011,May,1,Thursday,Summer,Clear,6,4,2
2011-05-19,2011,May,2,Thursday,Summer,Clear,15,12,3
2011-05-19,2011,May,3,Thursday,Summer,Clear,4,3,1
2011-05-19,2011,May,4,Thursday,Summer,Clear,5,3,2
2011-05-19,2011,May,5,Thursday,Summer,Clear,26,24,2
2011-05-19,2011,May,6,Thursday,Summer,Cloudy,103,86,17
2011-05-19,2011,May,7,Thursday,Summer,Cloudy,257,239,18
2011-05-19,2011,May,8,Thursday,Summer,Cloudy,487,453,34
2011-05-19,2011,May,9,Thursday,Summer,Cloudy,216,176,40
2011-05-19,2011,May,10,Thursday,Summer,Cloudy,130,95,35
2011-05-19,2011,May,11,Thursday,Summer,Light Snow/Rain,164,111,53
2011-05-19,2011,May,12,Thursday,Summer,Cloudy,168,130,38
2011-05-19,2011,May,13,Thursday,Summer,Light Snow/Rain,183,139,44
2011-05-19,2011,May,14,Thursday,Summer,Light Snow/Rain,180,137,43
2011-05-19,2011,May,15,Thursday,Summer,Clear,188,125,63
2011-05-19,2011,May,16,Thursday,Summer,Clear,302,247,55
2011-05-19,2011,May,17,Thursday,Summer,Clear,547,487,60
2011-05-19,2011,May,18,Thursday,Summer,Clear,513,454,59
2011-05-19,2011,May,19,Thursday,Summer,Clear,410,345,65
2011-05-19,2011,May,20,Thursday,Summer,Clear,282,236,46
2011-05-19,2011,May,21,Thursday,Summer,Clear,209,180,29
2011-05-19,2011,May,22,Thursday,Summer,Light Snow/Rain,79,68,11
2011-05-19,2011,May,23,Thursday,Summer,Clear,72,63,9
2011-05-20,2011,May,0,Friday,Summer,Clear,48,33,15
2011-05-20,2011,May,1,Friday,Summer,Clear,25,17,8
2011-05-20,2011,May,2,Friday,Summer,Clear,8,4,4
2011-05-20,2011,May,3,Friday,Summer,Clear,5,4,1
2011-05-20,2011,May,4,Friday,Summer,Clear,5,4,1
2011-05-20,2011,May,5,Friday,Summer,Clear,28,28,0
2011-05-20,2011,May,6,Friday,Summer,Clear,117,102,15
2011-05-20,2011,May,7,Friday,Summer,Clear,319,289,30
2011-05-20,2011,May,8,Friday,Summer,Clear,517,476,41
2011-05-20,2011,May,9,Friday,Summer,Clear,234,199,35
2011-05-20,2011,May,10,Friday,Summer,Clear,148,104,44
2011-05-20,2011,May,11,Friday,Summer,Cloudy,196,133,63
2011-05-20,2011,May,12,Friday,Summer,Cloudy,255,186,69
2011-05-20,2011,May,13,Friday,Summer,Light Snow/Rain,232,172,60
2011-05-20,2011,May,14,Friday,Summer,Clear,197,131,66
2011-05-20,2011,May,15,Friday,Summer,Cloudy,242,168,74
2011-05-20,2011,May,16,Friday,Summer,Cloudy,330,269,61
2011-05-20,2011,May,17,Friday,Summer,Clear,554,483,71
2011-05-20,2011,May,18,Friday,Summer,Clear,473,394,79
2011-05-20,2011,May,19,Friday,Summer,Clear,302,253,49
2011-05-20,2011,May,20,Friday,Summer,Clear,220,180,40
2011-05-20,2011,May,21,Friday,Summer,Clear,195,155,40
2011-05-20,2011,May,22,Friday,Summer,Clear,152,124,28
2011-05-20,2011,May,23,Friday,Summer,Clear,115,100,15
2011-05-21,2011,May,0,Saturday,Summer,Clear,98,78,20
2011-05-21,2011,May,1,Saturday,Summer,Clear,72,64,8
2011-05-21,2011,May,2,Saturday,Summer,Clear,40,35,5
2011-05-21,2011,May,3,Saturday,Summer,Clear,19,12,7
